date,platform,campaign_name,adset_name,ad_name,creative_id,creative_name,launch_date,spend,impressions,reach,clicks,purchases,gmv,creator_name,post_id,landing_url,utm,creative_angle,hook,format,status
2024-01-01,Meta,US_ASC_Purchase,ASC_All,UGC_hook01,cr_001,UGC pain point hook,2023-12-10,180,42000,22000,760,36,1620,creator_a,111,https://example.com/p1?ref=creator_a,ref=creator_a&utm_source=facebook&utm_medium=cpm&utm_campaign={{ad.name}},pain point,before after,video,active
2024-01-02,Meta,US_ASC_Purchase,ASC_All,UGC_hook01,cr_001,UGC pain point hook,2023-12-10,210,48000,23500,815,37,1517,creator_a,111,https://example.com/p1?ref=creator_a,ref=creator_a&utm_source=facebook&utm_medium=cpm&utm_campaign={{ad.name}},pain point,before after,video,active
2024-01-03,Meta,US_ASC_Purchase,ASC_All,UGC_hook01,cr_001,UGC pain point hook,2023-12-10,260,57000,25000,825,34,1326,creator_a,111,https://example.com/p1?ref=creator_a,ref=creator_a&utm_source=facebook&utm_medium=cpm&utm_campaign={{ad.name}},pain point,before after,video,active
2024-01-04,Meta,US_ASC_Purchase,ASC_All,UGC_hook01,cr_001,UGC pain point hook,2023-12-10,300,65000,26300,790,31,1085,creator_a,111,https://example.com/p1?ref=creator_a,ref=creator_a&utm_source=facebook&utm_medium=cpm&utm_campaign={{ad.name}},pain point,before after,video,active
2024-01-08,Meta,US_ASC_Purchase,ASC_All,UGC_hook01,cr_001,UGC pain point hook,2023-12-10,330,71000,27800,770,29,986,creator_a,111,https://example.com/p1?ref=creator_a,ref=creator_a&utm_source=facebook&utm_medium=cpm&utm_campaign={{ad.name}},pain point,before after,video,active
2024-01-06,Meta,US_ASC_Purchase,ASC_All,UGC_hook01,cr_001,UGC pain point hook,2023-12-10,350,75000,29100,755,26,806,creator_a,111,https://example.com/p1?ref=creator_a,ref=creator_a&utm_source=facebook&utm_medium=cpm&utm_campaign={{ad.name}},pain point,before after,video,active
2024-01-07,Meta,US_ASC_Purchase,ASC_All,UGC_hook01,cr_001,UGC pain point hook,2023-12-10,370,79000,30300,740,23,667,creator_a,111,https://example.com/p1?ref=creator_a,ref=creator_a&utm_source=facebook&utm_medium=cpm&utm_campaign={{ad.name}},pain point,before after,video,active
2024-01-01,Meta,US_ASC_Purchase,ASC_All,UGC_hook02,cr_002,UGC testimonial hook,2023-12-25,90,21000,16500,390,14,560,creator_b,222,https://example.com/p1?ref=creator_b,ref=creator_b&utm_source=facebook&utm_medium=cpm&utm_campaign={{ad.name}},testimonial,customer proof,video,active
2024-01-02,Meta,US_ASC_Purchase,ASC_All,UGC_hook02,cr_002,UGC testimonial hook,2023-12-25,100,23000,17500,435,17,765,creator_b,222,https://example.com/p1?ref=creator_b,ref=creator_b&utm_source=facebook&utm_medium=cpm&utm_campaign={{ad.name}},testimonial,customer proof,video,active
2024-01-03,Meta,US_ASC_Purchase,ASC_All,UGC_hook02,cr_002,UGC testimonial hook,2023-12-25,130,27500,19000,515,20,900,creator_b,222,https://example.com/p1?ref=creator_b,ref=creator_b&utm_source=facebook&utm_medium=cpm&utm_campaign={{ad.name}},testimonial,customer proof,video,active
2024-01-04,Meta,US_ASC_Purchase,ASC_All,UGC_hook02,cr_002,UGC testimonial hook,2023-12-25,160,31000,20500,610,25,1250,creator_b,222,https://example.com/p1?ref=creator_b,ref=creator_b&utm_source=facebook&utm_medium=cpm&utm_campaign={{ad.name}},testimonial,customer proof,video,active
2024-01-08,Meta,US_ASC_Purchase,ASC_All,UGC_hook02,cr_002,UGC testimonial hook,2023-12-25,185,35000,22100,690,28,1428,creator_b,222,https://example.com/p1?ref=creator_b,ref=creator_b&utm_source=facebook&utm_medium=cpm&utm_campaign={{ad.name}},testimonial,customer proof,video,active
2024-01-06,Meta,US_ASC_Purchase,ASC_All,UGC_hook02,cr_002,UGC testimonial hook,2023-12-25,210,39000,24000,770,31,1612,creator_b,222,https://example.com/p1?ref=creator_b,ref=creator_b&utm_source=facebook&utm_medium=cpm&utm_campaign={{ad.name}},testimonial,customer proof,video,active
2024-01-07,Meta,US_ASC_Purchase,ASC_All,UGC_hook02,cr_002,UGC testimonial hook,2023-12-25,230,42000,25500,840,35,1890,creator_b,222,https://example.com/p1?ref=creator_b,ref=creator_b&utm_source=facebook&utm_medium=cpm&utm_campaign={{ad.name}},testimonial,customer proof,video,active
2024-01-01,Google,PMax_US_All,AssetGroup_01,Image_angle01,cr_003,Static benefit image,2023-12-30,60,18000,15000,210,7,280,brand,,https://example.com/p1,utm_source=google&utm_medium=pmax&utm_campaign=PMax_US_All,benefit,clear offer,image,active
2024-01-02,Google,PMax_US_All,AssetGroup_01,Image_angle01,cr_003,Static benefit image,2023-12-30,75,21500,16800,255,8,336,brand,,https://example.com/p1,utm_source=google&utm_medium=pmax&utm_campaign=PMax_US_All,benefit,clear offer,image,active
2024-01-03,Google,PMax_US_All,AssetGroup_01,Image_angle01,cr_003,Static benefit image,2023-12-30,80,23000,17700,285,9,396,brand,,https://example.com/p1,utm_source=google&utm_medium=pmax&utm_campaign=PMax_US_All,benefit,clear offer,image,active
2024-01-04,Google,PMax_US_All,AssetGroup_01,Image_angle01,cr_003,Static benefit image,2023-12-30,90,25500,18900,320,11,517,brand,,https://example.com/p1,utm_source=google&utm_medium=pmax&utm_campaign=PMax_US_All,benefit,clear offer,image,active
2024-01-08,Google,PMax_US_All,AssetGroup_01,Image_angle01,cr_003,Static benefit image,2023-12-30,105,28000,20000,355,12,576,brand,,https://example.com/p1,utm_source=google&utm_medium=pmax&utm_campaign=PMax_US_All,benefit,clear offer,image,active
2024-01-06,Google,PMax_US_All,AssetGroup_01,Image_angle01,cr_003,Static benefit image,2023-12-30,115,30500,21100,380,13,637,brand,,https://example.com/p1,utm_source=google&utm_medium=pmax&utm_campaign=PMax_US_All,benefit,clear offer,image,active
2024-01-07,Google,PMax_US_All,AssetGroup_01,Image_angle01,cr_003,Static benefit image,2023-12-30,120,32000,22000,410,14,714,brand,,https://example.com/p1,utm_source=google&utm_medium=pmax&utm_campaign=PMax_US_All,benefit,clear offer,image,active
